product_name,category,price,quantity_in_stock,quantity_sold,brand,rating,num_of_ratings,date_added,color
"Originals Trefoil Hoodie (Blue, M)",Clothing,60,432,8,Adidas,8.5 out of 10,5,11.23.2022,blue
Po?ng Armchair (Black),Furniture,89,30,558,IKEA,8.27 out of 10,451,7.19.2025,black
Tech Deck (Purple),Toys,15.99,298,797,Spin Master,8.75 out of 10,638,9.3.2022,purple
"Storm Cyclone Jacket (Red, XL)",Clothing,140,5,192,Under Armour,,,10.17.2020,red
"MDR-1AM2 (Wired, Blue)",Headphones,249.99,289,892,Sony,8.75 out of 10,721,11.6.2024,red
K68 RGB (Black),Keyboards,85,109,872,Corsair,8.75 out of 10,705,6.30.2022,black
Juice Fountain Elite (Red),Kitchen,299.95,351,243,Breville,9.2 out of 10,209,1.29.2021,red
"Sportswear Club Fleece Joggers (Gray, XL)",Clothing,55,0,122,Nike,8.75 out of 10,106,9.17.2023,gray
Cold Brew Coffee Maker (Red),Kitchen,79.99,240,382,KitchenAid,8.6 out of 10,299,1.2.2023,red
Gear S3 Frontier (Green),Watches,199.99,275,822,Samsung,8.75 out of 10,646,5.19.2020,green
KSB1570ER 5-Speed Blender (Blue),Kitchen,99.99,150,785,KitchenAid,8.75 out of 10,626,5.7.2021,blue
"Move Style Edition (Wireless, Brown)",Headphones,99.99,1,901,Jabra,8.3 out of 10,731,9.15.2022,brown
"Surface Pro 9 (256GB, Purple)",Tablets,999,151,597,Microsoft,8.75 out of 10,456,9.28.2021,purple
"RU7100 (75"", Blue frame)",TVs,1199,277,942,Samsung,8.5 out of 10,766,3.12.2023,blue
Watch Series 2 (Red),Watches,369,435,397,Apple,8.75 out of 10,307,12.3.2022,red
"Surface Pro 7 (64GB, Black)",Tablets,749,480,858,Microsoft,8.6 out of 10,688,4.23.2021,black
"Essentials Hoodie (Green, L)",Clothing,75,124,439,Adidas,8.5 out of 10,360,1.9.2021,green
Draycoll Recliner (Blue),Furniture,450,245,445,Ashley Furniture,8.75 out of 10,350,6.13.2021,blue
Switch OLED (Purple),Gaming Consoles,349.99,406,91,Nintendo,8.75 out of 10,73,5.11.2022,purple
Genesis Mini (Black),Gaming Consoles,79.99,145,37,Sega,8.5 out of 10,31,11.2.2023,black
Air Fryer XXL (Orange),Kitchen,249.99,0,299,Philips,8.75 out of 10,240,8.11.2024,orange
G Pro Mechanical (Red),Keyboards,129.99,279,452,Logitech,8.75 out of 10,359,9.24.2022,red
"Zig Kinetica (Brown, EU 46)",Shoes,120,0,625,Reebok,8.5 out of 10,485,1.25.2025,brown
"Galaxy Note10 (1TB, Black)",Smartphones,1299.99,206,397,Samsung,8.75 out of 10,325,1.10.2023,black
Apex 100 (Brown),Keyboards,49.99,399,181,SteelSeries,7.85 out of 10,144,7.30.2025,brown
"Jersey Dress (Blue, XS)",Clothing,19.99,81,591,H&M,8.45 out of 10,470,3.16.2022,blue
"OLED B1 (75"", Black frame)",TVs,2499,0,103,LG,8.75 out of 10,85,2.13.2023,black
Ektorp Sofa (Gray),Furniture,499,0,125,IKEA,8.5 out of 10,94,2.19.2025,gray
Forerunner 245 (Red),Watches,299.99,293,33,Garmin,8.75 out of 10,28,5.10.2023,red
"Latitude 7400 (64GB, Green)",Laptops,1500,259,670,Dell,8.5 out of 10,517,5.10.2021,green
"PXC 550 (Wired, Red)",Headphones,249.99,278,276,Sennheiser,8.75 out of 10,234,2.7.2022,red
"QuietComfort 35 II (Wireless, Black)",Headphones,299,147,832,Bose,9.3 out of 10,661,7.4.2020,black
Paw Patrol Mighty Lookout Tower (White),Toys,129.99,276,135,Spin Master,8.75 out of 10,111,9.12.2020,white
"Iso-Chill Shorts (Black, L)",Clothing,40,0,327,Under Armour,8.25 out of 10,275,7.8.2023,black
Smart Screen Blender (Green),Kitchen,149.99,466,603,Ninja,8.75 out of 10,468,11.3.2022,green
Rock-a-Stack (Purple),Toys,9.99,498,761,Fisher-Price,8.75 out of 10,610,5.28.2023,purple
Galaxy Watch 5 (White),Watches,279.99,318,460,Samsung,8.75 out of 10,370,7.2.2020,white
"Blazer Mid '77 (White, EU 44)",Shoes,100,466,951,Nike,8.65 out of 10,756,12.14.2021,white
"Air Zoom Pegasus 38 (Blue, EU 44)",Shoes,120,110,349,Nike,9.2 out of 10,293,12.31.2022,blue
"ROG Strix Scar 15 (256GB, Black)",Laptops,2000,498,795,Asus,8.5 out of 10,631,7.14.2022,black
XEGS (Brown),Gaming Consoles,150,0,470,Atari,7.5 out of 10,367,12.29.2023,brown
HD2137 Pressure Cooker (Red),Kitchen,80,115,780,Philips,8.75 out of 10,622,3.6.2023,red
"8T (64GB, Yellow)",Smartphones,449,215,726,OnePlus,8.75 out of 10,594,10.15.2022,yellow
"Fresh Foam 1080 (Red, EU 44)",Shoes,160,0,205,New Balance,9.2 out of 10,170,1.10.2025,red
Darcy Sofa (Black),Furniture,450,247,516,Ashley Furniture,8.75 out of 10,398,10.11.2025,black
"MatePad Pro 12.6 (128GB, White)",Tablets,700,75,998,Huawei,8.5 out of 10,772,4.14.2021,white
The Grind Control (Green),Kitchen,299.95,0,409,Breville,8.75 out of 10,330,10.20.2024,green
Andover Mills Bookcase (Black),Furniture,120,0,255,Wayfair,8.2 out of 10,219,4.30.2025,black
Strafe RGB MK.2 (Yellow),Keyboards,150,0,346,Corsair,8.7 out of 10,279,6.12.2021,yellow
Mercury Row Merwin TV Stand (Red),Furniture,250,388,438,Wayfair,8.25 out of 10,350,4.9.2022,red
Barista Express (Gray),Kitchen,699.95,0,959,Breville,9.12 out of 10,757,12.15.2020,gray
M720 Triathlon (Purple),Mice,49.99,0,673,Logitech,8.75 out of 10,538,3.5.2022,purple
"AirPods Max (Wired, Green)",Headphones,399,181,264,Apple,,,2.17.2022,red
Pro Type Ultra (Red),Keyboards,179.99,243,533,Razer,8.75 out of 10,415,8.21.2020,red
Cannery Bridge Storage Chest (Green),Furniture,179.99,0,1000,Sauder,8.25 out of 10,810,4.16.2023,green
"Disc Blaze (Orange, EU 39)",Shoes,120,474,492,Puma,8.5 out of 10,402,3.30.2025,orange
"QLED Q60T (75"", Red frame)",TVs,1299,155,525,Samsung,,408,5.20.2022,red
HR3752 Blender (Green),Kitchen,150,232,279,Philips,,228,8.10.2024,green
"Evolve2 65 (Wired, Purple)",Headphones,180,0,227,Jabra,8.5 out of 10,173,12.28.2024,red
"Alphaskin Tights (Black, XL)",Clothing,45,146,783,Adidas,8.75 out of 10,634,1.26.2021,black
"Tiro 21 Track Pants (Yellow, XXL)",Clothing,50,263,843,Adidas,8.75 out of 10,705,6.11.2020,yellow
PlayStation Classic (Blue),Gaming Consoles,59.99,0,53,Sony,7.5 out of 10,44,2.14.2023,blue
"Gazelle (Orange, EU 44)",Shoes,100,465,216,Adidas,8.75 out of 10,175,10.10.2022,orange
Flashback Portable (Brown),Gaming Consoles,59.99,35,221,Atari,8 out of 10,174,3.25.2022,brown
"6 (1TB, Black)",Smartphones,599,294,388,OnePlus,8.5 out of 10,322,4.11.2023,black
Air Hogs Super Soft (Purple),Toys,29.99,86,943,Spin Master,8.45 out of 10,743,3.23.2023,purple
Pico (Yellow),Gaming Consoles,80,467,861,Sega,7.5 out of 10,687,7.8.2020,yellow
PlayStation 3 (Black),Gaming Consoles,150,0,674,Sony,8.5 out of 10,526,8.3.2021,black
,Smartphones,6,0,111,Apple,6.5 out of 10,86,7.13.2020,green
Operation (Gray),Toys,19.99,0,827,Hasbro,8.75 out of 10,644,8.22.2022,gray
"Mi 10 (64GB, Orange)",Smartphones,299,391,207,Xiaomi,8.7 out of 10,168,10.30.2023,orange
"70PUS6724 (65"", Brown frame)",TVs,700,0,673,Philips,8.25 out of 10,537,11.15.2025,brown
Wade Logan Dining Table (White),Furniture,450,425,809,Wayfair,8.7 out of 10,645,2.14.2021,white
G-Shock Rangeman (Brown),Watches,300,0,933,Casio,8.75 out of 10,738,12.18.2024,brown
Spiralizer Attachment (Yellow),Kitchen,89.99,129,918,KitchenAid,8.75 out of 10,713,1.30.2023,yellow
Hemnes TV Bench (Yellow),Furniture,149,0,717,IKEA,8.25 out of 10,587,2.25.2024,yellow
Rainforest Jumperoo (Green),Toys,109.99,62,799,Fisher-Price,8.75 out of 10,633,10.26.2023,green
Duo Crisp + Air Fryer (Gray),Kitchen,149.99,328,74,Instant Pot,9.2 out of 10,64,6.12.2024,gray
"iPad Pro 11 (2018) (128GB, Green)",Tablets,649,0,686,Apple,9.2 out of 10,556,11.15.2020,green
"Beats Solo3 (Wired, Yellow)",Headphones,99,483,916,Apple,8.5 out of 10,721,9.14.2022,red
Etch A Sketch (Yellow),Toys,15.99,461,882,Spin Master,8.5 out of 10,713,9.30.2025,yellow
Arc Mouse (Green),Mice,79.99,0,428,Microsoft,8.5 out of 10,337,12.28.2025,green
"Elite 45h (Wireless, Green)",Headphones,99.99,102,57,Jabra,8.75 out of 10,42,4.6.2020,green
Scrabble (Blue),Toys,19.99,0,597,Mattel,8.75 out of 10,483,2.17.2022,blue
Strafe RGB MK.2 (White),Keyboards,129.99,67,467,Corsair,8.75 out of 10,360,4.27.2023,white
"QLED Q70A (75"", Brown frame)",TVs,1699.99,0,213,Samsung,8.75 out of 10,174,6.1.2020,brown
"Own the Run Tee (Green, XXL)",Clothing,35,0,184,Adidas,8.75 out of 10,147,11.14.2023,green
Charge 5 (Blue),Watches,149.95,out of stock,834,Fitbit,8.75 out of 10,694,9.20.2020,blue
"Basket (Brown, EU 39)",Shoes,75,0,860,Puma,8.5 out of 10,691,4.4.2020,brown
Galaxy Watch 5 (Black),Watches,279.99,12,268,Samsung,8.75 out of 10,216,12.29.2023,black
"MDR-7506 (Wired, Brown)",Headphones,100,236,144,Sony,9.25 out of 10,115,12.13.2023,red
K60 RGB Pro (Yellow),Keyboards,70,0,573,Corsair,8.5 out of 10,457,12.25.2024,yellow
5-Shelf Bookcase (Black),Furniture,120,397,736,Sauder,,603,6.29.2022,black
Lark Manor End Table (Yellow),Furniture,150,233,922,Wayfair,8.75 out of 10,728,12.9.2023,yellow
"iPhone X (256GB, Orange)",Smartphones,749,0,730,Apple,8.5 out of 10,579,4.18.2021,orange
"VivoBook 15 X512 (256GB, Brown)",Laptops,500,288,913,Asus,8.5 out of 10,742,1.10.2020,brown
USB Mouse (Black),Mice,29.99,241,419,Apple,8.75 out of 10,334,6.21.2021,black
Mamba Elite (Purple),Mice,89.99,256,353,Razer,8.75 out of 10,284,6.10.2025,purple
"UA Rush T-Shirt (Yellow, L)",Clothing,35,446,520,Under Armour,8.5 out of 10,416,2.15.2020,yellow
"MacBook Pro 14 (2021) (1TB, White)",Laptops,2299,216,821,Apple,9.2 out of 10,687,6.22.2023,white
Havalance Coffee Table (Purple),Furniture,299.99,474,549,Ashley Furniture,8.25 out of 10,429,12.18.2024,purple
"SoundLink Around-Ear II (Wireless, Black)",Headphones,229,26,715,Bose,8.75 out of 10,586,11.14.2024,black
"Inspiron 14 5000 (128GB, Green)",Laptops,600,0,392,Dell,8.3 out of 10,315,11.8.2024,green
"Pro Tights (Green, L)",Clothing,65,351,882,Nike,8.75 out of 10,728,11.13.2022,green
"Alphabounce (Black, EU 46)",Shoes,120,260,229,Adidas,8.5 out of 10,184,10.12.2024,black
Game Gear (Orange),Gaming Consoles,150,242,66,Sega,,54,11.8.2025,orange
Duo 7-in-1 (Green),Kitchen,99.99,56,436,Instant Pot,8.5 out of 10,350,7.13.2021,green
"Armour Fleece Pants (Red, XS)",Clothing,45,418,597,Under Armour,8.5 out of 10,475,3.31.2020,red
"Ultraboost 21 (Brown, EU 39)",Shoes,180,466,572,Adidas,8.75 out of 10,461,12.8.2021,brown
"Move Style Edition (Wireless, Green)",Headphones,99.99,144,12,Jabra,8.5 out of 10,9,5.6.2021,green
Darcy Sofa (Black),Furniture,450,247,516,Ashley Furniture,8.75 out of 10,403,10.11.2025,black
Gear Fit2 Pro (Green),Watches,130,71,466,Samsung,8.35 out of 10,376,3.23.2023,green
Prime Wireless (Brown),Mice,139.99,309,874,SteelSeries,8.75 out of 10,689,11.23.2025,brown
"MacBook Air M2 (2022) (512GB, Brown)",Laptops,1349,0,480,Apple,9.25 out of 10,392,10.5.2020,brown
G-Shock Rangeman (Green),Watches,300,425,571,Casio,8.75 out of 10,463,12.8.2020,green
Monster High Doll (Brown),Toys,25.99,297,919,Mattel,7.8 out of 10,733,7.15.2023,brown
"50PUS7506 (50"", Orange frame)",TVs,450,40,544,Philips,7.8 out of 10,413,3.6.2022,orange
"TU8000 (50"", Brown frame)",TVs,400,7,751,Samsung,8.5 out of 10,618,6.10.2025,brown
"LinkBuds S (Wired, White)",Headphones,79.99,490,787,Sony,8.45 out of 10,603,1.18.2022,red
Cottage Road Coffee Table (Orange),Furniture,139.99,164,576,Sauder,8.2 out of 10,456,9.1.2023,orange
K70 Pro Mini Wireless (Orange),Keyboards,179.99,61,204,Corsair,8.75 out of 10,157,9.20.2024,orange
"Ignite (Purple, EU 46)",Shoes,100,0,794,Puma,8.75 out of 10,637,6.30.2024,purple
Forerunner 245 (Purple),Watches,299.99,390,167,Garmin,8.75 out of 10,133,12.21.2022,purple
Venu (Purple),Watches,349.99,274,483,Garmin,8.75 out of 10,389,7.26.2020,purple
Pro IntelliMouse (Gray),Mice,59.99,115,804,Microsoft,8.75 out of 10,655,7.7.2020,gray
"75R635 (43"", Gray frame)",TVs,499,4,88,TCL,8.5 out of 10,71,1.4.2021,gray
"50PUS7506 (43"", Gray frame)",TVs,350,30,128,Philips,8.2 out of 10,100,12.22.2024,gray
"XPS 17 (9700) (1TB, Black)",Laptops,2500,189,238,Dell,8.5 out of 10,180,3.9.2024,black
G613 Wireless (Brown),Keyboards,100,404,213,Logitech,8.75 out of 10,175,3.1.2022,brown
"SB Icon Hoodie (Blue, XL)",Clothing,80,119,422,Nike,8.75 out of 10,334,7.26.2023,blue
PlayStation 1 (Red),Gaming Consoles,80,229,225,Sony,8.5 out of 10,178,3.9.2021,red
"Tab P11 (256GB, White)",Tablets,300,341,715,Lenovo,8.5 out of 10,572,10.24.2024,white
"Air Zoom Pegasus 38 (White, EU 46)",Shoes,120,73,976,Nike,8.75 out of 10,767,10.8.2023,white
"Tech Shorts (Purple, M)",Clothing,35,204,502,Under Armour,8.7 out of 10,393,5.31.2023,purple
"HD 800S (Wireless, Purple)",Headphones,1699,0,262,Sennheiser,9.3 out of 10,206,2.21.2025,purple
Baby-G BA110 (Blue),Watches,120,365,983,Casio,8.75 out of 10,774,2.16.2023,blue
"Galaxy Note20 (512GB, Purple)",Smartphones,1299.99,0,770,Samsung,8.75 out of 10,625,10.24.2024,purple
Flashback Portable (Red),Gaming Consoles,59.99,45,715,Atari,7.5 out of 10,565,9.1.2025,red
"Basic Hoodie (Yellow, XS)",Clothing,24.99,0,169,H&M,8.5 out of 10,139,12.9.2025,yellow
"Air Max 90 (Blue, EU 40)",Shoes,130,0,76,Nike,8.75 out of 10,67,12.22.2022,blue
"WH-1000XM4 (Wireless, Orange)",Headphones,348,27,935,Sony,9.5 out of 10,742,6.15.2025,orange
DeathAdder Essential (Purple),Mice,49.99,111,32,Razer,8.5 out of 10,25,9.2.2024,purple
"Alphaskin Tights (Brown, XS)",Clothing,35,195,669,Adidas,8.5 out of 10,523,12.29.2021,brown
Modern Keyboard with Fingerprint ID (Red),Keyboards,129.99,0,336,Microsoft,8.5 out of 10,270,11.11.2021,red
"MediaPad T5 (512GB, Yellow)",Tablets,280,59,482,Huawei,8.2 out of 10,390,8.6.2023,yellow
"WF-C500 (Wireless, Orange)",Headphones,79.99,0,851,Sony,8.6 out of 10,679,11.18.2021,orange
"Suede Classic (Yellow, EU 39)",Shoes,70,138,2,Puma,8.45 out of 10,2,8.12.2023,yellow
Transformers Bumblebee (Blue),Toys,24.99,0,805,Hasbro,8.75 out of 10,654,1.9.2025,blue
"Surface Pro 9 (256GB, Blue)",Tablets,1099,86,721,Microsoft,,591,1.7.2024,blue
"4-Series 55S435 (65"", Brown frame)",TVs,450,0,477,TCL,8.25 out of 10,406,10.20.2025,brown
Laugh & Learn Smart Stages Puppy (Brown),Toys,24.99,128,699,Fisher-Price,8.75 out of 10,545,8.6.2025,brown
"RS-X3 (Red, EU 42)",Shoes,110,128,349,Puma,8.5 out of 10,282,12.23.2025,red
Wade Logan Dining Table (Purple),Furniture,350,0,527,Wayfair,8 out of 10,437,4.25.2020,purple
PlayStation 4 (Gray),Gaming Consoles,299.99,355,394,Sony,8.5 out of 10,302,5.22.2024,gray
"MediaPad T5 (512GB, Purple)",Tablets,300,0,875,Huawei,7.5 out of 10,702,4.14.2025,purple
"6T (512GB, Green)",Smartphones,499,0,943,OnePlus,8.5 out of 10,744,2.22.2020,green
"Galaxy Tab S4 (256GB, Purple)",Tablets,750,77,927,Samsung,8.5 out of 10,746,3.19.2023,purple
"Beats Solo3 (Wired, White)",Headphones,150,178,416,Apple,8.75 out of 10,329,5.4.2021,red
"Cortez (Blue, EU 44)",Shoes,100,342,66,Nike,8.75 out of 10,51,7.10.2022,blue
Modern Keyboard with Fingerprint ID (Purple),Keyboards,129.99,381,155,Microsoft,8.5 out of 10,126,5.3.2022,purple
"iPad mini (2021) (512GB, White)",Tablets,749,0,330,Apple,8.75 out of 10,260,1.31.2021,white
"Galaxy Note10 (64GB, Green)",Smartphones,750,0,365,Samsung,8.75 out of 10,292,12.17.2024,green
"Zoom Freak 3 (Purple, EU 46)",Shoes,120,0,528,Nike,,419,9.10.2025,purple
"Elite 45h (Wireless, Blue)",Headphones,99.99,182,660,Jabra,8.7 out of 10,526,5.8.2022,blue
"Galaxy Note10 (1TB, Yellow)",Smartphones,1399,0,862,Samsung,8.75 out of 10,702,12.21.2023,yellow
Xbox Series X (Black),Gaming Consoles,499.99,0,424,Microsoft,9.2 out of 10,339,2.27.2020,black
Cynosa Chroma (Green),Keyboards,59.99,414,452,Razer,8.5 out of 10,352,2.16.2023,green
Masters of the Universe He-Man (Red),Toys,24.99,0,691,Mattel,8.75 out of 10,559,3.18.2020,red
"NMD R1 (Blue, EU 39)",Shoes,140,308,142,Adidas,8.5 out of 10,112,10.31.2023,blue
Shoal Creek Dresser (Purple),Furniture,250,348,743,Sauder,8.25 out of 10,587,9.10.2020,purple
"55OLED806 (50"", Orange frame)",TVs,1200,172,45,Philips,8.5 out of 10,35,10.25.2023,orange
"HD 450BT (Wired, Purple)",Headphones,99.95,73,993,Sennheiser,8.5 out of 10,804,1.6.2020,red
Sense (Orange),Watches,99.95,0,491,Fitbit,8.75 out of 10,376,4.26.2023,orange
"ENVY 13 (1TB, Orange)",Laptops,1150,356,939,HP,8.4 out of 10,762,10.22.2023,orange
Approach S62 (Gray),Watches,499.99,0,600,Garmin,8.75 out of 10,474,6.4.2020,gray
"Surface Go 3 (1TB, Red)",Tablets,799,0,290,Microsoft,8.2 out of 10,229,4.15.2023,red
Pro IntelliMouse (Brown),Mice,59.99,367,760,Microsoft,8.5 out of 10,600,7.23.2020,brown
WWE Action Figure (Yellow),Toys,19.99,0,568,Mattel,8.5 out of 10,441,8.19.2022,yellow
Smart WiFi (Yellow),Kitchen,130,0,270,Instant Pot,8.75 out of 10,201,8.7.2021,yellow
Xbox Series X (White),Gaming Consoles,499.99,447,985,Microsoft,8.75 out of 10,784,8.10.2021,white
"OLED B1 (50"", Green frame)",TVs,1300,5,945,LG,8.4 out of 10,751,7.17.2023,green
Rubik's Cube (White),Toys,12.99,437,538,Spin Master,8.5 out of 10,427,1.9.2025,white
"505 Regular Jeans (Blue, XXL)",Clothing,69.5,116,342,Levi's,,275,7.26.2025,blue
"Ultraboost 21 (Purple, EU 46)",Shoes,180,39,291,Adidas,8.75 out of 10,218,7.14.2022,purple
"EliteBook 840 G6 (64GB, Purple)",Laptops,1200,0,982,HP,8.75 out of 10,802,6.5.2021,purple
"Rox Wireless (Wireless, Orange)",Headphones,80,461,603,Jabra,8.5 out of 10,483,1.7.2023,orange
"HD 800S (Wireless, Orange)",Headphones,1699.95,0,476,Sennheiser,9.2 out of 10,377,6.30.2021,orange
Galaxy Watch 4 Classic (Blue),Watches,299,334,812,Samsung,8.5 out of 10,653,7.22.2025,blue
Watch Series 7 (Gray),Watches,399,0,290,Apple,8.5 out of 10,223,7.8.2024,gray
"MacBook Air (2017) (1TB, Purple)",Laptops,450,208,113,Apple,8 out of 10,96,5.11.2022,purple
Billy Bookcase (White),Furniture,79.99,0,489,IKEA,8.7 out of 10,393,6.28.2024,white
"513 Slim Straight (Yellow, XXL)",Clothing,69.99,0,403,Levi's,8.3 out of 10,303,7.17.2020,yellow
K100 RGB (Yellow),Keyboards,229.99,0,546,Corsair,,436,10.13.2021,yellow
"MediaPad M6 (64GB, Green)",Tablets,280,82,695,Huawei,8.5 out of 10,551,5.31.2023,green
"Galaxy Tab S4 (64GB, White)",Tablets,350,37,260,Samsung,8.5 out of 10,211,3.29.2023,white
Foodi Smoothie Bowl Maker (Blue),Kitchen,119.99,0,73,Ninja,9.2 out of 10,51,12.16.2021,blue
Sensei Ten (Blue),Mice,69.99,111,213,SteelSeries,8.75 out of 10,163,5.13.2024,blue
Digital Media Keyboard 3000 (Red),Keyboards,39.99,340,892,Microsoft,8.5 out of 10,713,2.28.2024,red
Vivoactive 4 (Black),Watches,249.99,279,479,Garmin,8.6 out of 10,386,7.18.2023,black
Apex 3 (Brown),Keyboards,49.99,75,904,SteelSeries,8.75 out of 10,727,1.12.2025,brown
Galaxy Watch Active (White),Watches,199.99,0,48,Samsung,8.5 out of 10,35,1.4.2022,white
"8 (1TB, Green)",Smartphones,699,0,964,OnePlus,8.5 out of 10,781,4.18.2022,green
Nerf Elite 2.0 (Red),Toys,19.99,0,359,Hasbro,8.75 out of 10,288,6.28.2025,red
Kinect (Green),Gaming Consoles,129.99,0,409,Microsoft,7.85 out of 10,324,3.6.2021,green
City Police Station (60141) (Yellow),Toys,99.99,0,395,LEGO,8.65 out of 10,320,4.21.2025,yellow
"70PUS6724 (65"", Black frame)",TVs,700,0,124,Philips,8.5 out of 10,94,11.30.2020,black
"6-Series R648 (8K) (55"", Red frame)",TVs,999,392,498,TCL,8.25 out of 10,412,11.12.2024,red
Flashback 8 (Gray),Gaming Consoles,59.99,93,373,Atari,8.5 out of 10,284,7.8.2025,gray
Saturn (Yellow),Gaming Consoles,150,0,928,Sega,7.5 out of 10,756,2.5.2020,yellow
Greyleigh Coffee Table (Brown),Furniture,250,0,784,Wayfair,8.45 out of 10,626,4.24.2022,brown
"iPad Pro 11 (2018) (1TB, Blue)",Tablets,999,35,606,Apple,8.7 out of 10,496,2.21.2025,blue
"Court Victory Skirt (Gray, XS)",Clothing,60,76,55,Nike,8.5 out of 10,44,7.27.2020,gray
"Sport Earbuds (Wired, Purple)",Headphones,49.99,453,685,Bose,8.75 out of 10,551,9.13.2022,red
"RC Elite (Orange, EU 46)",Shoes,225,0,998,New Balance,8.75 out of 10,796,8.11.2024,orange
"VivoBook S15 (512GB, Red)",Laptops,749,316,774,Asus,8.3 out of 10,634,5.29.2023,red
Enchantimals Doll (Green),Toys,9.99,0,317,Mattel,8.25 out of 10,249,2.13.2020,green
Lancehead TE (Blue),Mice,79.99,254,717,Razer,8.5 out of 10,586,8.16.2025,blue
Lynx (Yellow),Gaming Consoles,150,408,595,Atari,7.5 out of 10,471,9.5.2022,yellow
"Yoga 9i (1TB, Purple)",Laptops,1600,0,272,Lenovo,8.5 out of 10,235,4.18.2024,purple
